NoiseStd,AvgStep,AvgReturn,Condition,Seed
0.05,1000.0,4661.593515131223,ZOAC (Neural),400
0.06,1000.0,4810.424940584669,ZOAC (Neural),400
0.07,1000.0,4753.211325141247,ZOAC (Neural),400
0.08,1000.0,4819.00101388523,ZOAC (Neural),400
0.09,1000.0,4932.953455818804,ZOAC (Neural),400
0.1,1000.0,4921.635338717245,ZOAC (Neural),400
0.11,1000.0,4805.495138434791,ZOAC (Neural),400
0.12,1000.0,4666.9608966993455,ZOAC (Neural),400
0.13,1000.0,4880.06514861369,ZOAC (Neural),400
0.14,1000.0,4993.852465843586,ZOAC (Neural),400
0.15,1000.0,4944.453022444127,ZOAC (Neural),400
0.16,1000.0,4751.918891877947,ZOAC (Neural),400
0.17,1000.0,4658.36093637284,ZOAC (Neural),400
0.18,1000.0,4778.854398828303,ZOAC (Neural),400
0.19,1000.0,4764.031842872148,ZOAC (Neural),400
0.2,1000.0,4652.357397495307,ZOAC (Neural),400
0.21,1000.0,4777.053845059032,ZOAC (Neural),400
0.22,1000.0,4597.928202956389,ZOAC (Neural),400
0.23,1000.0,4402.841086513175,ZOAC (Neural),400
0.24,1000.0,4512.033850873762,ZOAC (Neural),400
0.25,1000.0,4661.518472679679,ZOAC (Neural),400
0.26,1000.0,4353.022229142246,ZOAC (Neural),400
0.27,1000.0,4237.670613894988,ZOAC (Neural),400
0.28,1000.0,4311.969126660955,ZOAC (Neural),400
0.29,1000.0,3911.1461618799585,ZOAC (Neural),400
0.3,1000.0,4365.076964889306,ZOAC (Neural),400
0.0,1000.0,5191.229354397791,ZOAC (Neural),500
0.01,1000.0,5044.245903809484,ZOAC (Neural),500
0.02,1000.0,5237.902960174897,ZOAC (Neural),500
0.03,1000.0,5117.342487763077,ZOAC (Neural),500
0.04,1000.0,5155.053535408686,ZOAC (Neural),500
0.05,1000.0,5057.39162456046,ZOAC (Neural),500
0.06,1000.0,4998.519053403805,ZOAC (Neural),500
0.07,1000.0,4909.733116910338,ZOAC (Neural),500
0.08,1000.0,5123.025417978446,ZOAC (Neural),500
0.09,1000.0,4878.448826491295,ZOAC (Neural),500
0.1,1000.0,4976.003672025456,ZOAC (Neural),500
0.11,1000.0,4871.9122345330015,ZOAC (Neural),500
0.12,1000.0,5021.992282758182,ZOAC (Neural),500
0.13,1000.0,4702.0273954315035,ZOAC (Neural),500
0.14,1000.0,4750.2805896462,ZOAC (Neural),500
0.15,1000.0,4627.625749738957,ZOAC (Neural),500
0.16,1000.0,4577.534547995988,ZOAC (Neural),500
0.17,1000.0,4702.06404063647,ZOAC (Neural),500
0.18,1000.0,4567.380988455265,ZOAC (Neural),500
0.19,1000.0,4779.633812249706,ZOAC (Neural),500
