NoiseStd,AvgStep,AvgReturn,Condition,Seed
0.05,481.39999999999986,517.5885737778706,ES (Neural),200
0.055,434.36,464.5777540727965,ES (Neural),200
0.06,484.9,509.7430746528351,ES (Neural),200
0.065,358.17999999999995,367.0751417601866,ES (Neural),200
0.07,406.59999999999997,427.0532301602,ES (Neural),200
0.075,312.5799999999999,327.5604119768028,ES (Neural),200
0.08,349.13999999999993,371.0235859021997,ES (Neural),200
0.085,255.86000000000004,260.9666001035259,ES (Neural),200
0.09,195.03999999999996,197.6316300486917,ES (Neural),200
0.095,173.9,185.73438323227154,ES (Neural),200
0.1,160.46,157.0127703707841,ES (Neural),200
0.0,1000.0,1114.535747372418,ES (Neural),300
0.005,957.44,1061.1316828920237,ES (Neural),300
0.01,911.8399999999999,1019.2338224889202,ES (Neural),300
0.015,874.0200000000001,980.1952181980531,ES (Neural),300
0.02,880.8399999999999,981.8692206611507,ES (Neural),300
0.025,823.7800000000001,921.1687673411939,ES (Neural),300
0.03,811.7000000000002,900.1677236886618,ES (Neural),300
0.035,860.36,937.9493224753938,ES (Neural),300
0.04,781.9,866.3997577592471,ES (Neural),300
0.045,694.96,765.1105199305181,ES (Neural),300
0.05,723.6200000000002,782.0719964298711,ES (Neural),300
0.055,718.2200000000001,770.5888415243666,ES (Neural),300
0.06,634.02,668.8080711597943,ES (Neural),300
0.065,531.4,575.5223466393369,ES (Neural),300
0.07,471.35999999999996,507.5684970405445,ES (Neural),300
0.075,508.1400000000001,537.126759947417,ES (Neural),300
0.08,523.1200000000001,557.6724185870147,ES (Neural),300
0.085,414.02000000000004,436.03938439067457,ES (Neural),300
0.09,385.2400000000001,393.27439935102564,ES (Neural),300
0.095,323.9600000000001,339.2494376365924,ES (Neural),300
0.1,232.80000000000004,250.1396451081901,ES (Neural),300
0.0,1000.0,1033.5902965331522,ES (Neural),400
0.005,1000.0,1033.6445261295949,ES (Neural),400
0.01,1000.0,1033.581762909239,ES (Neural),400
0.015,959.5,993.4386523224788,ES (Neural),400
0.02,859.48,893.3635036476016,ES (Neural),400
0.025,791.28,824.192504827045,ES (Neural),400
0.03,703.2600000000001,733.6770737982229,ES (Neural),400
0.035,665.2399999999998,695.9840871373701,ES (Neural),400
0.04,495.4800000000001,520.7587687581058,ES (Neural),400
0.045,466.96000000000004,491.9804900074402,ES (Neural),400
0.05,404.56,429.8761467282299,ES (Neural),400
0.055,295.62000000000006,321.74633235443116,ES (Neural),400
0.06,371.20000000000005,395.9156816057334,ES (Neural),400
0.065,273.7199999999999,294.84678206927623,ES (Neural),400
0.07,252.07999999999998,273.0223665107729,ES (Neural),400
0.075,226.08000000000007,243.0931479097208,ES (Neural),400
0.08,154.16,171.82575883437391,ES (Neural),400
0.085,123.55999999999999,133.55512342778704,ES (Neural),400
0.09,163.41999999999996,172.62252414585586,ES (Neural),400
0.095,125.84000000000002,135.20360336594283,ES (Neural),400
0.1,96.86000000000004,108.69950840804687,ES (Neural),400
0.0,1000.0,1125.530219397719,ES (Neural),500
0.005,990.44,1119.2993602472316,ES (Neural),500
0.01,931.5999999999999,1057.9221545087055,ES (Neural),500
0.015,872.38,994.2920738376462,ES (Neural),500
0.02,740.9800000000001,848.0065157753463,ES (Neural),500
0.025,683.2600000000001,789.8909276682549,ES (Neural),500
0.03,743.04,847.4973033024562,ES (Neural),500
0.035,751.44,855.7952058288101,ES (Neural),500
0.04,606.7400000000001,701.3574291091255,ES (Neural),500
0.045,614.5799999999999,700.913005145625,ES (Neural),500
0.05,493.1400000000001,569.4684939981527,ES (Neural),500
0.055,460.64000000000004,554.5560685266637,ES (Neural),500
0.06,450.0200000000001,522.9050270029351,ES (Neural),500
0.065,518.92,587.0990916360363,ES (Neural),500
0.07,411.96,490.16163181877334,ES (Neural),500
0.075,235.54000000000005,280.0137288937191,ES (Neural),500
0.08,154.58000000000004,190.0614219124294,ES (Neural),500
0.085,207.81999999999996,248.6342528673369,ES (Neural),500
0.09,172.72,202.3708975115452,ES (Neural),500
0.095,216.1,247.57632352606691,ES (Neural),500
0.1,144.88,181.27128533689566,ES (Neural),500
0.0,926.82,3026.901906056432,PPO (Neural),100
0.005,841.72,2738.956472122957,PPO (Neural),100
0.01,667.76,2151.3020727396797,PPO (Neural),100
0.015,470.17999999999995,1489.5406600236424,PPO (Neural),100
0.02,492.48,1539.7204427630634,PPO (Neural),100
0.025,333.3600000000001,1016.7090769133773,PPO (Neural),100
0.03,288.08,869.7691084030588,PPO (Neural),100
0.035,226.98000000000008,671.6576414452802,PPO (Neural),100
0.04,231.38000000000002,680.8531122815541,PPO (Neural),100
0.045,171.30000000000004,462.9498582928767,PPO (Neural),100
0.05,156.58000000000007,420.9395951880128,PPO (Neural),100
0.055,146.14000000000001,398.1028902769589,PPO (Neural),100
0.06,150.12,393.17296976401946,PPO (Neural),100
0.065,112.72000000000003,282.1665121261985,PPO (Neural),100
0.07,137.26000000000002,362.1647524481273,PPO (Neural),100
0.075,105.53999999999998,239.7321152158934,PPO (Neural),100
0.08,102.55999999999997,201.12887238765578,PPO (Neural),100
0.085,131.98,239.8257044825251,PPO (Neural),100
0.09,111.70000000000002,220.040003422212,PPO (Neural),100
0.095,102.14,207.00647226054798,PPO (Neural),100
0.1,79.42,164.1567723967939,PPO (Neural),100
0.0,768.0799999999998,2601.779110660886,PPO (Neural),200
0.005,684.6600000000001,2332.648124238555,PPO (Neural),200
0.01,510.4600000000001,1733.1826116060777,PPO (Neural),200
0.015,459.34000000000003,1535.1354260794612,PPO (Neural),200
0.02,347.78,1129.3887428226335,PPO (Neural),200
0.025,304.21999999999997,944.9347970179776,PPO (Neural),200
0.03,294.12000000000006,914.1480279615267,PPO (Neural),200
0.035,201.71999999999994,597.3085612087983,PPO (Neural),200
0.04,203.16000000000003,575.2917371791293,PPO (Neural),200
0.045,204.24000000000007,557.7628863605405,PPO (Neural),200
0.05,164.52,394.97844278171914,PPO (Neural),200
0.055,161.66,376.77750784503047,PPO (Neural),200
0.06,166.04000000000002,392.75222331782015,PPO (Neural),200
0.065,136.98000000000002,261.66328847696053,PPO (Neural),200
